原始ID,归一化ENSG,Approved_symbol,是否命中映射,Classification ID,Cluster_Top_Terms
ENSG00000108518,ENSG00000108518,PFN1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000111341,ENSG00000111341,MGP,True,,
ENSG00000115268,ENSG00000115268,RPS15,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000142534,ENSG00000142534,RPS11,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000105193,ENSG00000105193,RPS16,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000234745,ENSG00000234745,HLA-B,True,6.0,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483) | Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)
ENSG00000221983,ENSG00000221983,UBA52,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000109062,ENSG00000109062,NHERF1,True,,
ENSG00000182774,ENSG00000182774,RPS17,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000197746,ENSG00000197746,PSAP,True,,
ENSG00000089157,ENSG00000089157,RPLP0,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000140264,ENSG00000140264,SERF2,True,,
ENSG00000177954,ENSG00000177954,RPS27,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000142937,ENSG00000142937,RPS8,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000166441,ENSG00000166441,RPL27A,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000185499,ENSG00000185499,MUC1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000233927,ENSG00000233927,RPS28,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000246705,ENSG00000246705,H2AJ,True,,
ENSG00000147403,ENSG00000147403,RPL10,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000179218,ENSG00000179218,CALR,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000213741,ENSG00000213741,RPS29,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000172809,ENSG00000172809,RPL38,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000142676,ENSG00000142676,RPL11,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000185624,ENSG00000185624,P4HB,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000137154,ENSG00000137154,RPS6,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000101439,ENSG00000101439,CST3,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000167996,ENSG00000167996,FTH1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000198034,ENSG00000198034,RPS4X,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000180879,ENSG00000180879,SSR4,True,,
ENSG00000156482,ENSG00000156482,RPL30,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000141736,ENSG00000141736,ERBB2,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000130203,ENSG00000130203,APOE,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000160862,ENSG00000160862,AZGP1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000100316,ENSG00000100316,RPL3,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000164919,ENSG00000164919,COX6C,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000204525,ENSG00000204525,HLA-C,True,6.0,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483) | Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)
ENSG00000149806,ENSG00000149806,FAU,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000170889,ENSG00000170889,RPS9,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000167658,ENSG00000167658,EEF2,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000166710,ENSG00000166710,B2M,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000083845,ENSG00000083845,RPS5,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000197958,ENSG00000197958,RPL12,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000184009,ENSG00000184009,ACTG1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000143947,ENSG00000143947,RPS27A,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000145592,ENSG00000145592,RPL37,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000125691,ENSG00000125691,RPL23,True,,
ENSG00000206503,ENSG00000206503,HLA-A,True,6.0,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483) | Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)
ENSG00000071082,ENSG00000071082,RPL31,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000162244,ENSG00000162244,RPL29,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000148303,ENSG00000148303,RPL7A,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000165949,ENSG00000165949,IFI27,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000070756,ENSG00000070756,PABPC1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000019582,ENSG00000019582,CD74,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000167995,ENSG00000167995,BEST1,True,,
ENSG00000144713,ENSG00000144713,RPL32,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000169710,ENSG00000169710,FASN,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000163220,ENSG00000163220,S100A9,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000167468,ENSG00000167468,GPX4,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000174748,ENSG00000174748,RPL15,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000131469,ENSG00000131469,RPL27,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000152082,ENSG00000152082,MZT2B,True,,
ENSG00000198242,ENSG00000198242,RPL23A,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000106211,ENSG00000106211,HSPB1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000251562,ENSG00000251562,MALAT1,True,,
ENSG00000138326,ENSG00000138326,RPS24,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000108821,ENSG00000108821,COL1A1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000224389,ENSG00000224389,C4B,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000111057,ENSG00000111057,KRT18,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000172757,ENSG00000172757,CFL1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000110651,ENSG00000110651,CD81,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000149925,ENSG00000149925,ALDOA,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000182899,ENSG00000182899,RPL35A,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000108639,ENSG00000108639,SYNGR2,True,,
ENSG00000172531,ENSG00000172531,PPP1CA,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000204592,ENSG00000204592,HLA-E,True,6.0,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483) | Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)
ENSG00000149591,ENSG00000149591,TAGLN,True,,
ENSG00000163682,ENSG00000163682,RPL9,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000135404,ENSG00000135404,CD63,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000145425,ENSG00000145425,RPS3A,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000108679,ENSG00000108679,LGALS3BP,True,,
ENSG00000115457,ENSG00000115457,IGFBP2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000130303,ENSG00000130303,BST2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000133112,ENSG00000133112,TPT1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000107223,ENSG00000107223,EDF1,True,,
ENSG00000118181,ENSG00000118181,RPS25,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000117410,ENSG00000117410,ATP6V0B,True,,
ENSG00000231925,ENSG00000231925,TAPBP,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000178719,ENSG00000178719,GRINA,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000100219,ENSG00000100219,XBP1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000163191,ENSG00000163191,S100A11,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000144426,ENSG00000144426,NBEAL1,True,,
ENSG00000106624,ENSG00000106624,AEBP1,True,,
ENSG00000110092,ENSG00000110092,CCND1,True,,
ENSG00000104904,ENSG00000104904,OAZ1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000188846,ENSG00000188846,RPL14,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000158710,ENSG00000158710,TAGLN2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000115414,ENSG00000115414,FN1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000125534,ENSG00000125534,PPDPF,True,,
ENSG00000185825,ENSG00000185825,BCAP31,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000142089,ENSG00000142089,IFITM3,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000117450,ENSG00000117450,PRDX1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000182492,ENSG00000182492,BGN,True,,
ENSG00000087460,ENSG00000087460,GNAS,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000187514,ENSG00000187514,PTMA,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000150991,ENSG00000150991,UBC,True,,
ENSG00000173272,ENSG00000173272,MZT2A,True,,
ENSG00000008988,ENSG00000008988,RPS20,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000096384,ENSG00000096384,HSP90AB1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000124614,ENSG00000124614,RPS10,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000092841,ENSG00000092841,MYL6,True,,
ENSG00000165215,ENSG00000165215,CLDN3,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000071553,ENSG00000071553,ATP6AP1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000167815,ENSG00000167815,PRDX2,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000114391,ENSG00000114391,RPL24,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000172354,ENSG00000172354,GNB2,True,,
ENSG00000109475,ENSG00000109475,RPL34,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
